NO,주소,층,보증금,월세,관리비,종류,평수,방 수,욕실 수,"향(남향,동향등)",전입가능 여부,주차장,즉시입주여부,복층여부,에어컨,냉장고,세탁기,인덕션,엘리베이터,신발장,옷장,베란다,싱크대,사진1,사진2,사진3,사진4,url 주소
49,인천시 연수구 송도동 29-1,18,700000,740000,70000,오피스텔,15.63,1,1,동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5VxfrCeE
50,인천시 연수구 송도동 29-1,23,5000000,650000,150000,오피스텔,18.83,1,1,남서향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/Gxr9etNF
51,인천시 연수구 송도동 29-1,23,5000000,700000,100000,오피스텔,18.83,1,1,남향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/x52Kr6BU
52,인천시 연수구 송도동 29-1,23,5000000,600000,90000,오피스텔,18.83,1,1,북향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FFqH6cg9
53,인천시 연수구 송도동 29-1,35,5000000,600000,90000,오피스텔,18.83,1,1,동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5PWRo7w8
54,인천시 연수구 송도동 29-1,7,5000000,550000,90000,오피스텔,15.14,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/Gxr9GykZ
55,인천시 연수구 송도동 29-1,33,5000000,700000,150000,오피스텔,18.83,1,1,남향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/Gprag7Cr
56,인천시 연수구 송도동 29-1,5,5000000,650000,100000,오피스텔,18.83,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xHEHtutX
57,인천시 연수구 송도동 29-1,7,5000000,600000,120000,오피스텔,15.63,1,1,북향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FORizuwG
58,인천시 연수구 송도동 29-1,13,5000000,580000,130000,오피스텔,15.63,1,1,남동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xSBOAmuE
59,인천시 연수구 송도동 29-1,5,5000000,550000,130000,오피스텔,15.14,1,1,남서향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5ajFWJOa
60,인천시 연수구 송도동 29-1,20,5000000,650000,90000,오피스텔,18.83,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xrzx5FXD
61,인천시 연수구 송도동 29-1,31,5000000,650000,150000,오피스텔,18.83,1,1,남서향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FAAjfZOj
62,인천시 연수구 송도동 29-1,31,5000000,600000,90000,오피스텔,15.63,1,1,북향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5kPKGhvO
63,인천시 연수구 송도동 29-1,35,20000000,500000,130000,오피스텔,18.83,1,1,북향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FG3l4pe5
64,인천시 연수구 송도동 29-1,20,5000000,600000,90000,오피스텔,18.83,1,1,남향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5vJRiMa6
65,인천시 연수구 송도동 29-1,5,5000000,600000,100000,오피스텔,18.83,1,1,서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/x9VuSc66
66,인천시 연수구 송도동 29-1,10,5000000,550000,90000,오피스텔,15.63,1,1,북향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5K6SGOQG
67,인천시 연수구 송도동 29-1,10,5000000,550000,150000,오피스텔,15.14,1,1,북동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5l28470s
68,인천시 연수구 송도동 29-1,30,5000000,660000,90000,오피스텔,18.83,1,1,북동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FuNJgtyA
