NO,주소,위도,경도,층,보증금 시그모이드,보증금 z score,보증금,월세 시그모이드,월세 zscore,월세,관리비 시그모이드,관리비 zscore,관리비,종류,평수,방 수,욕실 수,향,"향(남향,동향등)(원본)",전입가능여부,전입가능 여부(원본),주차장,주차장(원본),즉시 입주 여부,즉시입주여부(원본),복층 여부,복층여부(원본),에어컨,에어컨(원본),냉장고,냉장고(원본),세탁기,세탁기(원본),인덕션,인덕션(원본),엘리베이터,엘리베이터(원본),신발장,신발장(원본),옷장,옷장(원본),베란다,베란다(원본),싱크대,싱크대(원본),url 주소,버스_시간(분),지하철_시간(분),총_시간(분)
422,인천시 연수구 송도동 17-1,37.4023566,126.6401386,5,0.536775018,0.147366189,10000000,0.70928,0.89191,800000,0.91502,2.37657,350000,오피스텔,27,1,1,남동,남동,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GP26Qrym,0,0,22 
423,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.536775018,0.147366189,10000000,0.70928,0.89191,800000,0.94928,2.92941,400000,오피스텔,27,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/FLEJtBFR,0,0,22 
424,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.536775018,0.147366189,10000000,0.6625,0.67444,750000,0.94928,2.92941,400000,오피스텔,27,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/FSvNiV96,0,0,22 
425,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.93751,2.70827,380000,오피스텔,21,1,1,서,서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/5suv8rrR,0,0,22 
426,인천시 연수구 송도동 17-1,37.4023566,126.6401386,5,0.536775018,0.147366189,10000000,0.70928,0.89191,800000,0.89617,2.15543,330000,오피스텔,22,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GmpH4Scu,0,0,22 
427,인천시 연수구 송도동 17-1,37.4023566,126.6401386,5,0.536775018,0.147366189,10000000,0.61229,0.45696,700000,0.86101,1.82372,300000,오피스텔,22,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/5g46g7V7,0,0,22 
428,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.422588357,-0.312156877,5000000,0.6625,0.67444,750000,0.98602,4.25623,520000,오피스텔,27,1,1,남동,남동,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/5QspjDHM,0,0,22 
429,인천시 연수구 송도동 17-1,37.4023566,126.6401386,3,0.422588357,-0.312156877,5000000,0.55959,0.23948,650000,0.62173,0.4969,180000,오피스텔,13,1,1,북서,북서,0,.,0,2,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/5LQ0eHL8,0,0,22 
430,인천시 연수구 송도동 21-59,37.3965826,126.6495736,10,0.536775018,0.147366189,10000000,0.79032,1.32686,900000,0.78089,1.27088,250000,오피스텔,14,1,1,북동,북동,0,.,0,1,1,즉시 입주,0,X,0,X,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/GP26Q9wg,0,0,18 
431,인천시 연수구 송도동 21-59,37.3965826,126.6495736,10,0.536775018,0.147366189,10000000,0.85344,1.76182,1000000,0.86101,1.82372,300000,오피스텔,14,1,1,북동,북동,0,.,0,1,1,즉시 입주,0,X,0,X,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/IFE6VFTI,0,0,18 
432,인천시 연수구 송도동 21-59,37.3965826,126.6495736,10,0.536775018,0.147366189,10000000,0.82409,1.54434,950000,0.86101,1.82372,300000,오피스텔,14,1,1,북동,북동,0,.,0,1,1,즉시 입주,0,X,0,X,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/xbKcY7pi,0,0,18 
433,인천시 연수구 송도동 21-59,37.3965826,126.6495736,10,0.536775018,0.147366189,10000000,0.70928,0.89191,800000,0.74073,1.04974,230000,오피스텔,14,1,1,동,동,0,.,0,1,1,즉시 입주,0,X,0,X,1,O,1,O,0,X,1,O,1,O,1,O,0,X,1,O,https://naver.me/Fns8EMmR,0,0,18 
